size
Small
Medium
Large
Floor Lamp 
Table Lamp
4x6
9x13
XLarge
8x8
4x4
5x7
8x10
0-6
6-12
12-18
18-24
0-3
3-6
6-9
2x3
3M
6M
9M
12M
Mini
30
32
34
36
38
40
42
44
6
12 inches
Short
Tall
XL
XXL
7
8
9
10
4
11.5 inches
10 inches
10.5 Round
"16"" Round"
9x12 Rectangular
10x16 Rectangular
15x24 Rectangular
12x18 Scalloped #310
9x12 Oval
12x18 Oval #410
5x22
9x12 Scalloped
5x22 Metal
"9"""
11 inches
13 inches
8 inches
10.5 Inches
4QT
3QT
3 PNT
2 PNT
Carafe Bottle 
Carafe Magnum
Highball
Goblet
Rocks 
Can Size Coozie 
Bottle Size Coozie 
Jumbo Zip
Medium Zip
Small Zip Cosmetic
Side Handle Tube
Double Jigger 
Ice Scoop 
Bar Knife 
Bar Spoon 
Bottle Opener 
Cheese Triangle 
Folding Cosmetic 
Large Flat Pouch 
Mini Pouch 
Trapezoid 
Brush Case 
ML Traveler 
Jewelry Case 
I Pad Case
I Pad Mini Case 
Watch Box Holds Five
Watch Box Holds Six 
3x3
Pencil Box 
Post It Holder 
In Box 
Small Blotter 
Large Blotter 
Card Holder 
"12"" Dinner"
"8""Dinner"
"5""Dinner"
"16""Dinner"
Grande Platter 
Chain Link Bracelet 
Cuff Bracelet 
"7.25"""
"5.5"""
Square
15 inches 
18 inches 
11
12
"22"" "
"14"" X 20"" "
3x5
2QT
5/6
7/8
9/10
11/12
"6 3/4"" Small "
"7"" Medium "
"7 1/4"" Large "
